timestamp,magnitude,stepCount,totalStepCount
11272,10.89,0,2
11311,10.76,0,2
11373,9.96,0,2
11422,9.38,0,2
11490,9.52,0,2
11567,9.25,0,2
14119,9.52,0,2
14181,9.46,0,2
14230,9.69,0,2
14278,9.70,0,2
14331,10.37,0,2
14384,10.24,0,2
14455,10.50,0,2
14505,10.34,0,2
14551,9.80,0,2
14593,9.22,0,2
14644,9.14,0,2
14713,9.31,0,2
14751,9.98,5,7
14801,10.86,0,7
14847,11.19,0,7
14908,11.22,0,7
14977,11.44,0,7
15021,11.34,0,7
15071,10.93,0,7
15112,11.04,0,7
15168,10.98,0,7
15258,10.22,0,7
15297,9.38,0,7
15346,8.67,0,7
15384,8.02,0,7
15429,7.99,0,7
15497,9.33,0,7
15545,10.35,0,7
15586,10.87,0,7
15624,11.18,0,7
15672,11.22,0,7
15701,10.37,0,7
15772,10.17,3,10
15813,10.28,0,10
15867,10.30,0,10
15908,10.40,0,10
15946,10.40,0,10
16004,10.08,0,10
16076,9.87,0,10
16115,9.78,0,10
16158,9.60,0,10
16198,9.54,0,10
16272,9.82,0,10
16347,9.72,0,10
16386,9.81,0,10
16436,9.87,0,10
16485,9.79,0,10
16524,9.33,0,10
16600,9.48,0,10
16638,9.75,0,10
16682,10.00,0,10
16710,10.17,0,10
16772,10.25,3,13
16799,9.99,0,13
16880,9.71,0,13
16918,9.56,0,13
16977,9.62,0,13
17014,9.88,0,13
17065,10.26,0,13
17125,10.80,0,13
17185,11.15,0,13
17215,11.38,0,13
17266,11.27,0,13
17310,10.66,0,13
17349,9.60,0,13
17427,9.22,0,13
17465,8.72,0,13
17515,8.27,0,13
17563,8.43,0,13
17612,8.69,0,13
17680,8.61,0,13
17751,8.78,0,13
17802,9.47,0,13
17842,10.16,0,13
17887,11.33,0,13
17945,12.21,0,13
18021,11.86,0,13
18048,11.13,0,13
18104,10.64,0,13
18144,10.01,0,13
18223,9.55,0,13
18253,10.12,0,13
18313,10.81,0,13
18355,11.15,0,13
18434,11.10,0,13
18506,10.94,0,13
18548,11.05,0,13
18586,10.91,0,13
18636,10.29,0,13
18663,9.43,0,13
18706,8.70,0,13
18784,8.45,0,13
18847,8.24,3,16
18885,8.53,0,16
18935,9.34,0,16
18969,10.17,0,16
19047,10.25,0,16
19087,10.58,0,16
19130,10.97,0,16
19159,11.25,0,16
19212,11.70,0,16
19271,11.65,0,16
19355,11.49,0,16
19395,11.33,0,16
19449,11.24,0,16
19480,10.89,0,16
19522,11.08,0,16
19583,11.25,0,16
19643,11.19,0,16
19684,10.91,0,16
19729,10.55,0,16
19776,10.20,0,16
19869,9.62,0,16
19898,8.96,0,16
19961,8.55,0,16
19992,8.51,0,16
20056,8.46,0,16
20136,9.19,0,16
20177,10.11,0,16
20225,10.87,0,16
20274,11.12,0,16
20301,11.27,0,16
20343,11.04,0,16
20413,11.22,0,16
20462,11.12,0,16
20491,11.00,0,16
20536,10.93,0,16
20581,11.04,0,16
20677,10.95,0,16
20745,10.96,0,16
20791,11.11,0,16
20831,11.07,0,16
20894,10.61,0,16
20947,9.97,0,16
21013,9.95,0,16
21081,9.23,0,16
21284,9.41,0,16
21356,9.82,0,16
21416,10.30,0,16
21454,10.34,0,16
21495,11.14,0,16
21529,11.05,0,16
21570,11.09,0,16
21628,11.42,0,16
21699,11.26,0,16
21727,11.01,0,16
21776,11.12,0,16
21861,11.41,0,16
21930,11.16,0,16
22001,11.24,0,16
22718,11.38,0,16
22790,11.22,0,16
22840,10.82,0,16
22878,10.88,0,16
22931,11.13,0,16
22963,11.02,0,16
23022,10.96,0,16
23110,11.26,0,16
23156,11.54,0,16
23208,11.66,0,16
23259,11.93,0,16
23321,12.15,0,16
23449,11.43,0,16
23501,11.00,0,16
23561,10.05,0,16
23612,9.64,0,16
23680,8.73,0,16
23761,9.27,0,16
23813,8.98,0,16
23891,9.28,0,16
23987,9.28,0,16
24046,9.86,0,16
24088,9.31,4,20
24165,9.32,0,20
24263,9.42,0,20
24294,9.39,0,20
24350,9.27,0,20
24389,9.56,0,20
24468,9.52,0,20
24555,9.46,0,20
24596,9.57,0,20
24690,9.71,0,20
24742,9.66,0,20
24800,9.64,0,20
24851,9.69,0,20
24899,9.62,0,20
24948,9.65,0,20
25000,9.56,0,20
25080,9.56,0,20
25125,9.39,0,20
25185,9.35,0,20
25226,9.39,0,20
25290,9.53,0,20
25363,9.63,0,20
25410,9.69,0,20
25489,9.64,0,20
25518,9.38,0,20
25567,9.58,0,20
25636,9.39,0,20
25706,9.49,0,20
25760,9.53,0,20
25810,9.69,0,20
25857,9.44,0,20
25927,9.49,0,20
25994,9.45,0,20
26034,9.46,0,20
26108,9.47,0,20
26183,9.45,0,20
26228,9.50,0,20
26314,9.48,0,20
26360,9.54,0,20
26441,9.37,0,20
26478,9.27,0,20
26535,9.40,0,20
26584,9.55,0,20
26746,9.57,0,20
26948,9.84,0,20
27005,9.64,0,20
27124,9.66,0,20
27167,9.48,0,20
27220,9.51,0,20
27249,9.44,0,20
27289,9.83,0,20
27357,9.62,0,20
27408,9.59,0,20
27449,9.52,0,20
27501,9.65,0,20
27545,9.48,0,20
